25678,40
26724,40
43099,40
62150,40
65109,40
66308,40
69252,40
22495,104
66605,104
70482,104
21394,141
34175,167
61037,167
62859,167
63732,167
68548,167
68572,167
68859,167
70051,167
70482,167
71590,167
71988,167
72646,167
72723,167
73011,167
2,282
34063,289
45602,472
20667,504
67161,504
58495,513
58495,516
58495,518
63732,605
68548,605
71988,605
73011,605
40275,672
46741,686
22089,768
34411,768
34892,768
35554,768
35607,768
40275,768
63431,781
47650,833
62136,837
20780,864
62136,864
22720,873
20927,881
40275,883
40275,884
24685,942
62859,943
22720,947
47142,963
27719,1015
29334,1015
47606,1015
40275,1064
69453,1121
69453,1123
28638,1358
25157,1590
56357,1590
60690,1590
1,1631
18762,1631
20589,1631
21328,1631
26015,1631
28241,1631
68617,1797
55808,1901
37822,1943
40075,2043
25023,2087
32982,2139
25513,2212
39290,2212
70230,2223
70230,2226
70230,2227
70230,2231
33877,2265
49369,2267
37822,2273
65513,2273
20763,2382
35812,2438
51375,2438
39290,2444
70230,2453
26974,2493
35419,2493
37871,2493
55121,2493
65736,2493
37822,2530
60360,3046
37062,3284
42894,3284
51375,3284
56979,3284
65353,3294
67265,3294
34852,3330
71667,3393
29334,3430
69993,3441
59536,3457
59536,3460
71667,3469
20555,3568
25313,3568
62136,3598
25123,3603
28789,3708
34959,3708
37822,3722
23949,3768
20667,3891
62227,3891
22824,3988
23132,3988
23226,3988
35629,3988
66981,4053
66981,4054
61004,4198
20667,4355
20732,4355
20805,4355
23100,4355
40075,4355
52036,4355
24911,4496
24911,4571
24911,4637
24254,4818
33682,4840
46172,4904
72805,4904
42817,4964
28267,4988
46172,4988
61895,4988
22638,5068
71165,5092
22231,5175
22231,5264
22231,5378
59092,5378
49682,5405
27035,5691
28789,5736
20667,5863
50854,5863
63880,5863
36736,5870
36736,5871
46880,5874
20836,5926
21797,5926
22231,5926
22775,5926
26933,5926
28241,5926
58495,5939
64546,6197
23132,6240
33682,6305
46341,6474
20881,6481
33682,6525
58495,6525
71583,6525
34431,6620
23624,6684
24911,6834
64546,6931
33682,7033
33162,7044
47076,7044
20555,7136
20667,7136
21056,7136
22677,7136
22775,7136
24521,7136
25313,7136
25513,7136
27027,7136
33775,7136
34887,7136
35426,7136
35812,7136
43546,7136
49165,7136
58495,7136
65736,7171
65736,7173
65704,7174
58495,7186
24685,7200
21213,7203
65513,7203
65513,7204
65513,7207
65513,7208
65513,7209
65513,7210
18844,7290
66981,7304
66981,7305
21826,7366
58212,7377
58495,7445
20805,7459
42896,7459
20667,7529
33682,7529
65704,7543
70935,7604
72096,7604
65704,7605
26974,7648
56913,7648
24398,7649
56913,7649
56913,7650
62510,7691
20667,7717
28241,7717
34769,7743
56913,7763
25915,7774
20813,7834
66981,7862
24911,7893
24254,7968
52742,7973
58495,7982
28241,8009
2,8068
53347,8068
71723,8193
63431,8259
60690,8343
56913,8369
56913,8370
58011,8440
65513,8589
65513,8602
72746,8602
47606,8614
22244,8660
58495,8660
40075,8828
58495,9010
49682,9076
33682,9153
56913,9153
22737,9206
18844,9222
22775,9284
33682,9292
56913,9292
70921,9376
24911,9451
58212,9483
53756,9520
68683,9520
69474,9520
70230,9520
72890,9520
60360,9553
72805,9553
20534,9584
20548,9584
20555,9584
20616,9584
21179,9584
21705,9584
21936,9584
22689,9584
22708,9584
22775,9584
24271,9584
24338,9584
28583,9584
28789,9584
28835,9584
34918,9584
36985,9584
38705,9584
44475,9584
45426,9584
49513,9584
49776,9584
54380,9584
54404,9584
56393,9584
59326,9584
65285,9584
65989,9584
67034,9584
70264,9584
71583,9584
72805,9588
65513,9611
65513,9617
